Suburbs,Sentiment
ST KILDA EAST,"{'neg': 30, 'pos': 72}"
WATSONIA,"{'pos': 16, 'neg': 6}"
FRANKSTON SOUTH,"{'neg': 85, 'pos': 145}"
HALLAM,"{'neg': 31, 'pos': 60}"
ESSENDON,"{'neg': 24, 'pos': 43}"
DELAHEY,"{'neg': 9, 'pos': 11}"
PANTON HILL,"{'pos': 5, 'neg': 4}"
RAVENHALL,"{'pos': 6, 'neg': 1}"
WOLLERT,"{'pos': 60, 'neg': 25}"
WHITTLESEA,"{'pos': 10, 'neg': 4}"
BROOKFIELD,"{'neg': 23, 'pos': 25}"
PASCOE VALE SOUTH,"{'pos': 30, 'neg': 9}"
ALBANVALE,"{'neg': 9, 'pos': 19}"
CRANBOURNE,"{'pos': 45, 'neg': 18}"
HURSTBRIDGE,"{'pos': 10, 'neg': 2}"
LALOR,"{'neg': 18, 'pos': 64}"
ALBION,"{'pos': 8, 'neg': 2}"
DINGLEY VILLAGE,"{'neg': 5, 'pos': 20}"
BORONIA,"{'pos': 31, 'neg': 8}"
NUNAWADING,"{'neg': 1, 'pos': 12}"
MELTON WEST,"{'pos': 14, 'neg': 2}"
AVALON,"{'pos': 8, 'neg': 1}"
FOOTSCRAY,"{'pos': 100, 'neg': 37}"
BERWICK,"{'pos': 87, 'neg': 54}"
CAULFIELD EAST,"{'pos': 21, 'neg': 11}"
BEACONSFIELD,"{'pos': 8, 'neg': 3}"
ABBOTSFORD,"{'pos': 74, 'neg': 21}"
MACLEOD,"{'neg': 50, 'pos': 96}"
RESEARCH,"{'neg': 2, 'pos': 2}"
HADFIELD,"{'neg': 5, 'pos': 14}"
KEW EAST,"{'pos': 19, 'neg': 5}"
WANTIRNA,"{'pos': 53, 'neg': 21}"
RIPPONLEA,"{'pos': 10, 'neg': 1}"
UPPER FERNTREE GULLY,"{'pos': 19, 'neg': 10}"
BONBEACH,"{'neg': 25, 'pos': 61}"
AIRPORT WEST,"{'neg': 4, 'pos': 10}"
BELLFIELD,"{'pos': 6, 'neg': 4}"
MOONEE PONDS,"{'neg': 49, 'pos': 106}"
EAGLEMONT,"{'neg': 24, 'pos': 71}"
CROYDON,"{'pos': 29, 'neg': 12}"
BALACLAVA,"{'pos': 28, 'neg': 11}"
MOOROOLBARK,"{'neg': 35, 'pos': 71}"
DONCASTER EAST,"{'pos': 49, 'neg': 21}"
GLENROY,"{'neg': 44, 'pos': 66}"
LYNBROOK,"{'pos': 15, 'neg': 5}"
BLACKBURN SOUTH,"{'pos': 13, 'neg': 3}"
WHEELERS HILL,"{'pos': 27, 'neg': 18}"
BAYSWATER NORTH,"{'neg': 18, 'pos': 57}"
CAMBERWELL,"{'neg': 27, 'pos': 38}"
OAK PARK,"{'neg': 4, 'pos': 7}"
BENTLEIGH,"{'pos': 18, 'neg': 13}"
CAROLINE SPRINGS,"{'pos': 121, 'neg': 49}"
WALLAN,"{'neg': 10, 'pos': 24}"
SUNSHINE,"{'pos': 42, 'neg': 17}"
STRATHMORE,"{'pos': 12, 'neg': 7}"
SOUTH WHARF,"{'pos': 42, 'neg': 9}"
MARIBYRNONG,"{'pos': 41, 'neg': 26}"
GISBORNE,"{'neg': 21, 'pos': 27}"
BENTLEIGH EAST,"{'pos': 44, 'neg': 14}"
CARRUM,"{'pos': 11, 'neg': 11}"
NARRE WARREN NORTH,"{'pos': 14, 'neg': 7}"
WARRANWOOD,"{'pos': 18, 'neg': 11}"
MIDDLE PARK,"{'neg': 3, 'pos': 15}"
BURNSIDE,"{'pos': 7, 'neg': 8}"
SCORESBY,"{'pos': 23, 'neg': 10}"
CRANBOURNE NORTH,"{'neg': 15, 'pos': 36}"
BURWOOD,"{'pos': 88, 'neg': 36}"
ALTONA MEADOWS,"{'pos': 16, 'neg': 8}"
GLADSTONE PARK,"{'pos': 24, 'neg': 8}"
SILVAN,"{'pos': 6, 'neg': 3}"
BOX HILL NORTH,"{'neg': 3, 'pos': 16}"
CARLTON NORTH,"{'pos': 46, 'neg': 14}"
KEILOR DOWNS,"{'pos': 30, 'neg': 16}"
KEILOR EAST,"{'neg': 15, 'pos': 27}"
NORTH WARRANDYTE,{'pos': 4}
ROSANNA,"{'pos': 5, 'neg': 1}"
MELTON SOUTH,"{'neg': 17, 'pos': 25}"
ARMADALE,"{'neg': 31, 'pos': 41}"
VERMONT SOUTH,"{'pos': 8, 'neg': 8}"
OAKLEIGH SOUTH,"{'pos': 7, 'neg': 4}"
SEAFORD,"{'pos': 30, 'neg': 18}"
ST ALBANS,"{'pos': 36, 'neg': 14}"
TECOMA,"{'pos': 67, 'neg': 49}"
HEIDELBERG,"{'pos': 30, 'neg': 24}"
MOUNT ELIZA,"{'pos': 113, 'neg': 47}"
BURNSIDE HEIGHTS,"{'pos': 13, 'neg': 4}"
GREENVALE,"{'neg': 33, 'pos': 49}"
SURREY HILLS,"{'pos': 27, 'neg': 15}"
MANOR LAKES,"{'neg': 21, 'pos': 23}"
HAMPTON PARK,"{'neg': 16, 'pos': 27}"
TAYLORS HILL,"{'pos': 61, 'neg': 30}"
CREMORNE,"{'neg': 3, 'pos': 16}"
VERMONT,"{'pos': 16, 'neg': 5}"
GARDENVALE,"{'neg': 3, 'pos': 2}"
BOTANIC RIDGE,"{'pos': 2, 'neg': 1}"
CROYDON NORTH,"{'neg': 11, 'pos': 21}"
FLEMINGTON,"{'pos': 56, 'neg': 14}"
SPOTSWOOD,"{'neg': 3, 'pos': 7}"
WILLIAMSTOWN NORTH,"{'pos': 8, 'neg': 5}"
LANGWARRIN,"{'pos': 29, 'neg': 10}"
PATTERSON LAKES,{'pos': 7}
FRANKSTON NORTH,"{'pos': 22, 'neg': 10}"
BALWYN,"{'pos': 18, 'neg': 6}"
TRUGANINA,"{'neg': 20, 'pos': 40}"
BLACK ROCK,"{'pos': 12, 'neg': 1}"
ELTHAM NORTH,"{'pos': 14, 'neg': 2}"
ASPENDALE GARDENS,"{'neg': 16, 'pos': 24}"
MELTON,"{'neg': 8, 'pos': 20}"
BOX HILL SOUTH,"{'pos': 5, 'neg': 2}"
KEALBA,"{'pos': 12, 'neg': 6}"
KEILOR,"{'neg': 10, 'pos': 18}"
