Suburbs,Sentiment,scores,log_scores
RESERVOIR,"{'pos': 112, 'neg': 91}",1.2282608695652173,0.20559924166330018
RINGWOOD,"{'neg': 15, 'pos': 39}",2.5,0.9162907318741551
KEYSBOROUGH,"{'pos': 73, 'neg': 35}",2.0555555555555554,0.7205461547480596
POINT COOK,"{'pos': 120, 'neg': 61}",1.9516129032258065,0.6686561605516496
TARNEIT,"{'pos': 108, 'neg': 41}",2.5952380952380953,0.9536782639457755
TAYLORS LAKES,"{'pos': 74, 'neg': 32}",2.272727272727273,0.8209805520698303
MULGRAVE,"{'pos': 28, 'neg': 27}",1.0357142857142858,0.03509131981127019
MAIDSTONE,"{'pos': 58, 'neg': 28}",2.0344827586206895,0.7102416139192453
TEMPLESTOWE,"{'neg': 12, 'pos': 13}",1.0769230769230769,0.07410797215372183
PRINCES HILL,"{'pos': 6, 'neg': 1}",3.5,1.252762968495368
TULLAMARINE,"{'pos': 27, 'neg': 17}",1.5555555555555556,0.44183275227903923
DONVALE,"{'pos': 21, 'neg': 6}",3.142857142857143,1.1451323043030026
GLEN WAVERLEY,"{'neg': 65, 'pos': 128}",1.9545454545454546,0.6701576623352465
CAIRNLEA,"{'pos': 20, 'neg': 6}",3.0,1.0986122886681098
THORNBURY,"{'pos': 68, 'neg': 34}",1.9714285714285715,0.6787584431078457
CRANBOURNE WEST,"{'pos': 23, 'neg': 12}",1.8461538461538463,0.6131044728864089
WESTMEADOWS,"{'pos': 14, 'neg': 8}",1.6666666666666667,0.5108256237659907
MALVERN EAST,"{'pos': 76, 'neg': 36}",2.081081081081081,0.7328875092094594
BURWOOD EAST,"{'neg': 10, 'pos': 22}",2.090909090909091,0.7375989431307791
MERNDA,"{'neg': 119, 'pos': 230}",1.925,0.6549259677397475
CARRUM DOWNS,"{'pos': 86, 'neg': 42}",2.0232558139534884,0.7047080029610213
BROADMEADOWS,"{'pos': 109, 'neg': 77}",1.4102564102564104,0.34377153910282454
KINGSVILLE,"{'pos': 14, 'neg': 2}",5.0,1.6094379124341003
PAKENHAM,"{'pos': 86, 'neg': 48}",1.7755102040816326,0.5740878205439571
ROWVILLE,"{'pos': 81, 'neg': 49}",1.64,0.494696241836107
HAMPTON,"{'neg': 65, 'pos': 42}",0.6515151515151515,-0.42845462633286313
CROYDON HILLS,"{'neg': 16, 'pos': 38}",2.2941176470588234,0.8303483020734302
DOVETON,"{'neg': 7, 'pos': 16}",2.125,0.7537718023763802
BLACKBURN,"{'neg': 20, 'pos': 19}",0.9523809523809523,-0.048790164169432056
HAWTHORN EAST,"{'pos': 97, 'neg': 41}",2.3333333333333335,0.8472978603872037
WARRANDYTE,"{'neg': 60, 'pos': 76}",1.2622950819672132,0.23293155768037266
MOUNT MARTHA,"{'pos': 21, 'neg': 13}",1.5714285714285714,0.4519851237430572
FAWKNER,"{'pos': 53, 'neg': 29}",1.8,0.5877866649021191
HIGHETT,"{'pos': 25, 'neg': 10}",2.3636363636363638,0.8602012652231116
COBURG NORTH,"{'pos': 38, 'neg': 20}",1.8571428571428572,0.6190392084062235
SUNBURY,"{'pos': 133, 'neg': 84}",1.576470588235294,0.4551885434605949
DOREEN,"{'pos': 17, 'neg': 10}",1.6363636363636365,0.49247648509779424
MURRUMBEENA,"{'neg': 5, 'pos': 11}",2.0,0.6931471805599453
SUNSHINE WEST,"{'pos': 114, 'neg': 67}",1.6911764705882353,0.5254244231871433
